payment_ID,payment_type,payment_provider,credit_card_number,exp_date
321031,PayPal,Discover,7790231152065666,05/30
939043,Bank Transfer,American Express,9110695180830375,04/26
669742,PayPal,Discover,2510677269757915,05/30
806396,Credit Card,MasterCard,4588563691657866,11/29
811431,Apple Pay,American Express,5816595079770959,12/26
842494,PayPal,Stripe,2951203417282286,02/28
653724,Google Pay,Discover,8430267080780149,11/27
975284,Credit Card,PayPal,7160146423915370,10/27
876898,Bank Transfer,Stripe,9158715464166997,03/29
951754,PayPal,Stripe,2207919048576310,06/29
61621,Apple Pay,Discover,7516953885303021,09/25
417463,Google Pay,Stripe,9756136347671619,11/23
921028,Credit Card,PayPal,3878642734724296,07/26
382931,Google Pay,Stripe,4247745483597369,07/29
491833,Credit Card,MasterCard,9939948281234351,01/28
525944,Credit Card,American Express,3687886793500037,08/23
385101,Bank Transfer,American Express,5893535295746445,06/25
835925,Google Pay,American Express,6419519402994630,08/28
201846,Debit Card,Stripe,2305268181806485,11/29
702290,Credit Card,MasterCard,1883726990587473,04/23
32407,Google Pay,Visa,1903884587370311,06/28
385526,Google Pay,PayPal,9078152501306637,11/24
767233,PayPal,Discover,7349803740131538,01/27
329338,PayPal,PayPal,5655689718643437,07/25
201965,Apple Pay,MasterCard,4649179971203864,06/30
924557,Bank Transfer,Discover,5201794848973106,06/30
844300,PayPal,Visa,1819904213591753,09/28
473593,Credit Card,Discover,6017071392589950,12/27
80089,Apple Pay,Stripe,3784407041921156,04/27
354372,Debit Card,Visa,6393036660545704,06/30
282878,Debit Card,MasterCard,2218698891886382,05/29
996664,Credit Card,American Express,5723388938248340,02/29
660959,Debit Card,American Express,8145629926266487,08/24
315584,Google Pay,PayPal,1807028884029133,03/27
751792,Google Pay,MasterCard,8112739194094818,06/26
172844,Credit Card,PayPal,1275144284982954,02/29
629032,Apple Pay,MasterCard,1745449239977739,11/26
370507,PayPal,PayPal,1763139062334082,12/23
308269,Apple Pay,American Express,7983632725308145,06/28
644128,Credit Card,Stripe,3223418692957570,04/24
18887,Apple Pay,MasterCard,9295234351011200,04/30
951521,Debit Card,American Express,7001943736215849,04/29
555991,Debit Card,PayPal,2074111442952625,01/25
857406,PayPal,Stripe,9030181799774894,08/23
26924,Bank Transfer,American Express,4833075315593637,02/29
74979,PayPal,Visa,3486012012504187,03/24
566416,Bank Transfer,Stripe,9957274444544727,11/28
264519,Google Pay,American Express,3540403464486611,07/28
819633,Credit Card,Visa,7011404685841525,12/25
291992,Debit Card,Stripe,6823681412504823,04/28
